name,num_frames,ignore_first,scale_s,RotErr_mean,RotErr_median,RotErr_min,RotErr_max,TransErr_mean,TransErr_median,TransErr_min,TransErr_max
video0_cam03.json,81,True,0.0,6.220924755032193,5.887854235742141,0.11564108389483421,13.98925232473424,0.0,0.0,0.0,0.0
video1_cam03.json,81,True,0.0,5.129174740378183,5.11284014637107,0.14848823650080595,10.201021451325193,0.0,0.0,0.0,0.0
video2_cam03.json,81,True,0.0,5.852129709475996,5.608878734601506,0.1302364448111531,12.588545621583947,0.0,0.0,0.0,0.0
video3_cam03.json,81,True,0.0,4.802339149319069,4.644958739388038,0.11095542552205681,10.160090877629205,0.0,0.0,0.0,0.0
video4_cam03.json,81,True,0.0,6.008960734781058,5.673093061505583,0.1878586368642868,12.714043530503126,0.0,0.0,0.0,0.0
video5_cam03.json,81,True,0.0,7.342637683997199,6.536881859211132,0.1437100867214613,17.60575449145134,0.0,0.0,0.0,0.0
video6_cam03.json,81,True,0.0,5.8364044724254125,5.639073591961823,0.13079220898881647,12.364085820116886,0.0,0.0,0.0,0.0
video7_cam03.json,81,True,0.0,6.509347039345099,6.418317425844478,0.10879055765159766,13.11487490167176,0.0,0.0,0.0,0.0
video8_cam03.json,81,True,0.0,7.999475543156438,7.71408453442478,0.28904780450216133,16.422188564823273,0.0,0.0,0.0,0.0
video9_cam03.json,81,True,0.0,6.271482777081216,5.996939732683737,0.10720936534835175,13.20760193415241,0.0,0.0,0.0,0.0
OVERALL,,True,,6.197287660499186,,,,0.0,,,
