name,num_frames,ignore_first,scale_s,RotErr_mean,RotErr_median,RotErr_min,RotErr_max,TransErr_mean,TransErr_median,TransErr_min,TransErr_max
video0_cam07.json,81,True,-0.8057879068495971,7.191784658853464,7.2575637994950455,0.20668973703560595,13.668030833526858,0.2008753091591084,0.2130732839942973,0.0161268872712258,0.3336944103817126
video1_cam07.json,81,True,-0.09475401578081258,8.851813187199742,8.84821958127281,0.22422774364766804,17.581085547757514,0.49820722174490656,0.4968081304950325,0.012019896285937387,0.9899539305256893
video2_cam07.json,81,True,-0.015423871199535477,10.329118929495937,9.995280795767005,0.21256076404315125,21.954825961363948,0.5024435518612469,0.501442749299029,0.012306595766052674,0.9959993269220084
video3_cam07.json,81,True,0.5251373542240555,8.117085128959959,8.126749049369517,0.20909585348160725,15.966043808786099,0.49051304705993726,0.4865796399659047,0.01059403410694709,0.998053026433398
video4_cam07.json,81,True,-0.029361839421614952,12.263099522488009,12.498846007932164,0.3109819891217761,23.448340275927027,0.49777252630719565,0.49388790415049155,0.011338638239187033,1.0033939270473369
video5_cam07.json,81,True,-0.07805639490530658,8.954160997547435,9.258091556538233,0.24163481117444757,16.60119374697649,0.5028646339917053,0.50299792036761,0.01243315818983889,0.9927221175837946
video6_cam07.json,81,True,-0.0938242332560171,7.3539720462652385,7.124726084743238,0.15845739001820838,15.183761732202273,0.5023924618732755,0.506249790214391,0.013093503508765526,0.981178978429135
video7_cam07.json,81,True,0.19872639537084225,10.479112307962964,10.764621280641155,0.39408026785854683,19.546460306712813,0.48867816752375914,0.48188838008270474,0.010901054577946332,0.9897698202763907
video8_cam07.json,81,True,0.05394541519926933,10.559600964574791,11.046877978856884,0.27918251815789524,19.379657793555534,0.5021620705714043,0.5026968587346047,0.012410249520403885,0.9893771528766236
video9_cam07.json,81,True,0.11452014538051698,11.607293411560844,11.671110546748043,0.4251510876317908,21.594179821828163,0.49539932035024153,0.4970544704698174,0.012622657701194206,0.9777351085281849
OVERALL,,True,,9.570704115490837,,,,0.46813083104427805,,,
