video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
1,81,0.5,98912,1221.136,98.912,1.221
2,81,0.5,150606,1859.333,150.606,1.859
3,81,0.5,250316,3090.321,250.316,3.09
4,81,0.5,159222,1965.704,159.222,1.966
5,81,0.5,150172,1853.975,150.172,1.854
6,81,0.5,78506,969.21,78.506,0.969
7,81,0.5,239026,2950.938,239.026,2.951
8,81,0.5,113890,1406.049,113.89,1.406
9,81,0.5,111138,1372.074,111.138,1.372
10,81,0.5,169148,2088.247,169.148,2.088
AVERAGE_OVER_ALL,810,0.5,,1877.699,,1.878
