video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
1,81,0.5,66734,823.877,66.734,0.824
2,81,0.5,159059,1963.691,159.059,1.964
3,81,0.5,232440,2869.63,232.44,2.87
4,81,0.5,139573,1723.123,139.573,1.723
5,81,0.5,172090,2124.568,172.09,2.125
6,81,0.5,75801,935.815,75.801,0.936
7,81,0.5,205563,2537.815,205.563,2.538
8,81,0.5,81136,1001.679,81.136,1.002
9,81,0.5,59357,732.802,59.357,0.733
10,81,0.5,102838,1269.605,102.838,1.27
AVERAGE_OVER_ALL,810,0.5,,1598.26,,1.598
