video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
1,81,0.5,93276,1151.556,93.276,1.152
2,81,0.5,97556,1204.395,97.556,1.204
3,81,0.5,270130,3334.938,270.13,3.335
4,81,0.5,141391,1745.568,141.391,1.746
5,81,0.5,85075,1050.309,85.075,1.05
6,81,0.5,71558,883.432,71.558,0.883
7,81,0.5,249087,3075.148,249.087,3.075
8,81,0.5,121076,1494.765,121.076,1.495
9,81,0.5,64478,796.025,64.478,0.796
10,81,0.5,125735,1552.284,125.735,1.552
AVERAGE_OVER_ALL,810,0.5,,1628.842,,1.629
