video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,165308,2040.84,165.308,2.041
video1,81,0.5,233164,2878.568,233.164,2.879
video2,81,0.5,294945,3641.296,294.945,3.641
video3,81,0.5,160337,1979.469,160.337,1.979
video4,81,0.5,204613,2526.086,204.613,2.526
video5,81,0.5,79567,982.309,79.567,0.982
video6,81,0.5,276151,3409.272,276.151,3.409
video7,81,0.5,177491,2191.247,177.491,2.191
video8,81,0.5,128690,1588.765,128.69,1.589
video9,81,0.5,210874,2603.383,210.874,2.603
AVERAGE_OVER_ALL,810,0.5,,2384.123,,2.384
