video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,136765,1688.457,136.765,1.688
video1,81,0.5,170766,2108.222,170.766,2.108
video2,81,0.5,287536,3549.827,287.536,3.55
video3,81,0.5,162890,2010.988,162.89,2.011
video4,81,0.5,155341,1917.79,155.341,1.918
video5,81,0.5,84516,1043.407,84.516,1.043
video6,81,0.5,232512,2870.519,232.512,2.871
video7,81,0.5,148860,1837.778,148.86,1.838
video8,81,0.5,84274,1040.42,84.274,1.04
video9,81,0.5,165727,2046.012,165.727,2.046
AVERAGE_OVER_ALL,810,0.5,,2011.342,,2.011
