video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,158529,1957.148,158.529,1.957
video1,81,0.5,237916,2937.235,237.916,2.937
video2,81,0.5,321435,3968.333,321.435,3.968
video3,81,0.5,184666,2279.827,184.666,2.28
video4,81,0.5,232284,2867.704,232.284,2.868
video5,81,0.5,83717,1033.543,83.717,1.034
video6,81,0.5,304046,3753.654,304.046,3.754
video7,81,0.5,189969,2345.296,189.969,2.345
video8,81,0.5,105146,1298.099,105.146,1.298
video9,81,0.5,205608,2538.37,205.608,2.538
AVERAGE_OVER_ALL,810,0.5,,2497.921,,2.498
