video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,119622,1476.815,119.622,1.477
video1,81,0.5,193529,2389.247,193.529,2.389
video2,81,0.5,283453,3499.42,283.453,3.499
video3,81,0.5,175444,2165.975,175.444,2.166
video4,81,0.5,174821,2158.284,174.821,2.158
video5,81,0.5,88531,1092.975,88.531,1.093
video6,81,0.5,249303,3077.815,249.303,3.078
video7,81,0.5,138285,1707.222,138.285,1.707
video8,81,0.5,129538,1599.235,129.538,1.599
video9,81,0.5,154947,1912.926,154.947,1.913
AVERAGE_OVER_ALL,810,0.5,,2107.991,,2.108
