video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
1,81,0.5,142348,1757.383,142.348,1.757
2,81,0.5,174214,2150.79,174.214,2.151
3,81,0.5,258674,3193.506,258.674,3.194
4,81,0.5,137820,1701.481,137.82,1.701
5,81,0.5,142020,1753.333,142.02,1.753
6,81,0.5,68457,845.148,68.457,0.845
7,81,0.5,231784,2861.531,231.784,2.862
8,81,0.5,158643,1958.556,158.643,1.959
9,81,0.5,103491,1277.667,103.491,1.278
10,81,0.5,193986,2394.889,193.986,2.395
AVERAGE_OVER_ALL,810,0.5,,1989.428,,1.989
