video_pair,num_pairs,clip_v,note
1,105,0.8833348489943005,
10,105,0.9055058462279184,
2,105,0.8597457811945962,
3,105,0.9181760248683747,
4,105,0.9061729170027232,
5,105,0.8469056901477633,
6,105,0.8712772244498843,
7,105,0.890811392239162,
8,105,0.8594975057102386,
9,105,0.8697269059362867,
ALL_MEAN,,0.8811154136771246,mean_over_10_video_pairs
