video_pair,num_pairs,clip_v,note
1,21,0.9119294285774231,
10,21,0.9566152947289603,
2,21,0.9392463763554891,
3,21,0.9428791602452596,
4,21,0.9363793844268435,
5,21,0.9137194468861535,
6,21,0.9016358171190534,
7,21,0.9244137860479809,
8,21,0.8874997666903904,
9,21,0.8934952219327291,
ALL_MEAN,,0.9207813683010284,mean_over_10_video_pairs
