video_pair,num_pairs,clip_v,note
1,21,0.8608610289437431,
10,21,0.5544636419841221,
2,21,0.6155258246830532,
3,21,0.6153275200298854,
4,21,0.6320176067806426,
5,21,0.6424690797215417,
6,21,0.6381679744947524,
7,21,0.66502464952923,
8,21,0.6396819296337309,
9,21,0.628519248394739,
ALL_MEAN,,0.6492058504195442,mean_over_10_video_pairs
